# Generated 2026-06-21 from Claude workflow wf_9cfa6be0-e24; all rows are selected from the latest verified result when available.
# PT-BR/RU policy: fallback to English for new rows; EN/ZH/JA/ES are the explicit translation columns.
verified	surface	key	ko	placeholders	en	zh	ja	es
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.no_ap	열쇠가 부족합니다.		Not enough Keys.	钥匙不足。	鍵が足りません。	No tienes suficientes llaves.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.not_enough_gold	강화 비용이 부족합니다.		Not enough Gold to upgrade.	升级的金币不足。	強化に必要なゴールドが足りません。	No tienes suficiente oro para mejorar.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.no_active_item	강화할 액티브 아이템이 없습니다.		There is no Active item to upgrade.	没有可升级的主动道具。	強化できるアクティブアイテムがありません。	No hay objeto Activo para mejorar.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.max_level	%s은(는) 이미 최대 강화입니다.	%s	%s is already at maximum upgrade.	%s 已达到最高强化。	%s はすでに最大強化です。	%s ya está en la mejora máxima.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.missing_owner	아이템 가방을 찾을 수 없습니다.		Item bag not found.	找不到道具背包。	アイテムバッグが見つかりません。	No se encontró la bolsa de objetos.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.unavailable	지금은 강화할 수 없습니다.		You can't upgrade right now.	现在无法强化。	今は強化できません。	No puedes mejorar ahora mismo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.result_success	%s +%d 강화 성공! -%dG	%s, %d, %dG	%s +%d upgrade succeeded! -%dG	%s +%d 强化成功！-%dG	%s +%d 強化成功！-%dG	¡%s +%d mejora exitosa! -%dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.result_maintain	%s 강화 유지. -%dG	%s, %dG	%s upgrade maintained. -%dG	%s 强化保持。-%dG	%s 強化を維持。-%dG	%s mejora mantenida. -%dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.result_fail	%s 강화 실패. 아이템은 유지됩니다. -%dG	%s, %dG	%s upgrade failed. The item is kept. -%dG	%s 强化失败。道具予以保留。-%dG	%s 強化失敗。アイテムは維持されます。-%dG	%s mejora fallida. El objeto se conserva. -%dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.blacksmith.result_attempted	강화를 시도했습니다.		Upgrade attempted.	已尝试强化。	強化を試みました。	Mejora intentada.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.no_ap	행동력이 부족합니다.		Not enough Action Points.	行动力不足。	行動力が足りません。	No tienes suficientes Puntos de Acción.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.not_enough_gold	수업료가 부족합니다.		Not enough Gold for the lesson fee.	学费的金币不足。	授業料のゴールドが足りません。	No tienes suficiente oro para la matrícula.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.missing_owner	현재 캐릭터를 찾을 수 없습니다.		Current character not found.	找不到当前角色。	現在のキャラクターが見つかりません。	No se encontró el personaje actual.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.missing_runtime	스킬 수업 장치를 찾을 수 없습니다.		Skill lesson device not found.	找不到技能授课装置。	スキル授業の装置が見つかりません。	No se encontró el dispositivo de lecciones de habilidad.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.choice_active	이미 진행 중인 스킬 선택이 있습니다.		A skill selection is already in progress.	已经有正在进行的技能选择。	すでに進行中のスキル選択があります。	Ya hay una selección de habilidad en curso.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.no_choices	지금 배울 수 있는 스킬이 없습니다.		There are no skills to learn right now.	目前没有可学习的技能。	今学べるスキルはありません。	No hay habilidades para aprender ahora mismo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.exchange_stub	스킬 교환은 다음 단계에서 열립니다.		Skill exchange will open in a later milestone.	技能交换将在后续阶段开放。	スキル交換は次の段階で開放されます。	El intercambio de habilidades se abrirá en una fase posterior.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.unavailable	지금은 수업을 진행할 수 없습니다.		You can't take a lesson right now.	现在无法上课。	今は授業を進められません。	No puedes tomar una lección ahora mismo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.lesson_started	스킬 수업을 시작합니다. -%dG	%dG	Starting the skill lesson. -%dG	开始技能授课。-%dG	スキル授業を始めます。-%dG	Comenzando la lección de habilidad. -%dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.academy.lesson_no_choice	수업료를 냈지만 선택지를 열지 못했습니다.		You paid the lesson fee but no choices could be opened.	已支付学费，但未能打开选项。	授業料を払いましたが選択肢を開けませんでした。	Pagaste la matrícula pero no se pudo abrir ninguna opción.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.no_ap	행동력이 부족합니다.		Not enough Action Points.	行动力不足。	行動力が足りません。	No tienes suficientes Puntos de Acción.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.quest_active	이미 진행 중인 의뢰가 있습니다.		A quest is already in progress.	已经有正在进行的委托。	すでに進行中の依頼があります。	Ya hay una misión en curso.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.stage_accepted	이번 스테이지의 의뢰는 이미 받았습니다.		You have already accepted this Stage's quest.	本关卡的委托已经接取。	このステージの依頼はすでに受けています。	Ya aceptaste la misión de esta Etapa.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.invalid_quest	의뢰서가 손상되었습니다.		The quest sheet is corrupted.	委托书已损坏。	依頼書が破損しています。	La hoja de misión está dañada.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.no_active_quest	보고할 의뢰가 없습니다.		There is no quest to report.	没有可汇报的委托。	報告する依頼がありません。	No hay misión que reportar.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.quest_in_progress	다음 전투를 마친 뒤 보고할 수 있습니다.		You can report after finishing the next battle.	完成下一场战斗后才能汇报。	次の戦闘を終えてから報告できます。	Podrás reportar tras terminar la próxima batalla.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.missing_store	의뢰 장부를 찾을 수 없습니다.		Quest ledger not found.	找不到委托账本。	依頼の帳簿が見つかりません。	No se encontró el registro de misiones.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.unavailable	지금은 의뢰를 처리할 수 없습니다.		You can't handle a quest right now.	现在无法处理委托。	今は依頼を処理できません。	No puedes gestionar una misión ahora mismo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.accepted	%s 의뢰를 받았습니다.	%s	Accepted the %s quest.	已接取「%s」委托。	「%s」の依頼を受けました。	Aceptaste la misión «%s».
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.completed	%s 보고 완료. +%dG	%s, %dG	%s reported. +%dG	「%s」汇报完成。+%dG	「%s」の報告完了。+%dG	«%s» reportada. +%dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.tavern.processed	의뢰를 처리했습니다.		Quest handled.	已处理委托。	依頼を処理しました。	Misión gestionada.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.default.bank	첫 은행 처리 때 열쇠 1개를 사용합니다.		Your first bank action this visit uses 1 Key.	本次首次办理银行业务将消耗 1 把钥匙。	今回最初の銀行処理で鍵を1個使用します。	Tu primera operación bancaria de esta visita usa 1 llave.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.default.shop	첫 거래 때 열쇠 1개를 사용합니다.		Your first trade this visit uses 1 Key.	本次首次交易将消耗 1 把钥匙。	今回最初の取引で鍵を1個使用します。	Tu primer intercambio de esta visita usa 1 llave.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.default.gacha	첫 뽑기 때 열쇠 1개를 사용합니다.		Your first draw this visit uses 1 Key.	本次首次抽取将消耗 1 把钥匙。	今回最初の抽選で鍵を1個使用します。	Tu primera tirada de esta visita usa 1 llave.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.default.lingpet	첫 알 뽑기 때 열쇠 1개를 사용합니다.		Your first egg draw this visit uses 1 Key.	本次首次抽蛋将消耗 1 把钥匙。	今回最初の卵の抽選で鍵を1個使用します。	Tu primera tirada de huevo de esta visita usa 1 llave.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.default.tavern	첫 의뢰 처리 때 행동력 1개를 사용합니다.		Your first quest action this visit uses 1 Action Point.	本次首次处理委托将消耗 1 点行动力。	今回最初の依頼処理で行動力を1個使用します。	Tu primera acción de misión de esta visita usa 1 Punto de Acción.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.default.academy	첫 수업 처리 때 행동력 1개를 사용합니다.		Your first lesson action this visit uses 1 Action Point.	本次首次上课将消耗 1 点行动力。	今回最初の授業処理で行動力を1個使用します。	Tu primera acción de lección de esta visita usa 1 Punto de Acción.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.default.blacksmith	첫 강화 시도 때 열쇠 1개를 사용합니다.		Your first upgrade attempt this visit uses 1 Key.	本次首次强化尝试将消耗 1 把钥匙。	今回最初の強化試行で鍵を1個使用します。	Tu primer intento de mejora de esta visita usa 1 llave.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.default.coming_soon	준비 중		Coming soon	准备中	準備中	Próximamente
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.bank.summary	보유 %dG  |  예금 %dG  |  열쇠 %d	%dG, %dG, %d	Held %dG  |  Deposit %dG  |  Keys %d	持有 %dG  |  存款 %dG  |  钥匙 %d	所持 %dG  |  預金 %dG  |  鍵 %d	En mano %dG  |  Depósito %dG  |  Llaves %d
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.shop.summary	보유 %dG  |  열쇠 %d  |  액티브 %d개	%dG, %d, %d	Held %dG  |  Keys %d  |  Active %d	持有 %dG  |  钥匙 %d  |  主动 %d 个	所持 %dG  |  鍵 %d  |  アクティブ %d個	En mano %dG  |  Llaves %d  |  Activos %d
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.gacha.summary	보유 %dG  |  열쇠 %d  |  액티브 %d개  |  1회 %dG	%dG, %d, %d, %dG	Held %dG  |  Keys %d  |  Active %d  |  Per draw %dG	持有 %dG  |  钥匙 %d  |  主动 %d 个  |  单次 %dG	所持 %dG  |  鍵 %d  |  アクティブ %d個  |  1回 %dG	En mano %dG  |  Llaves %d  |  Activos %d  |  Por tirada %dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.lingpet.summary	보유 %dG  |  열쇠 %d  |  링펫 %d종  |  알 %dG	%dG, %d, %d, %dG	Held %dG  |  Keys %d  |  Lingpets %d  |  Egg %dG	持有 %dG  |  钥匙 %d  |  Lingpet %d 种  |  蛋 %dG	所持 %dG  |  鍵 %d  |  Lingpet %d種  |  卵 %dG	En mano %dG  |  Llaves %d  |  Lingpets %d  |  Huevo %dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.tavern.summary	보유 %dG  |  행동력 %d  |  %s: %s +%dG	%dG, %d, %s, %s, %dG	Held %dG  |  AP %d  |  %s: %s +%dG	持有 %dG  |  行动力 %d  |  %s: %s +%dG	所持 %dG  |  行動力 %d  |  %s: %s +%dG	En mano %dG  |  PA %d  |  %s: %s +%dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.tavern.state.in_progress	진행 중		In progress	进行中	進行中	En curso
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.tavern.state.offered	제안		Offered	提议	提案	Ofrecida
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.academy.summary	보유 %dG  |  행동력 %d  |  수업료 %dG	%dG, %d, %dG	Held %dG  |  AP %d  |  Lesson fee %dG	持有 %dG  |  行动力 %d  |  学费 %dG	所持 %dG  |  行動力 %d  |  授業料 %dG	En mano %dG  |  PA %d  |  Matrícula %dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.blacksmith.summary	보유 %dG  |  열쇠 %d  |  %s  |  비용 %dG	%dG, %d, %s, %dG	Held %dG  |  Keys %d  |  %s  |  Cost %dG	持有 %dG  |  钥匙 %d  |  %s  |  费用 %dG	所持 %dG  |  鍵 %d  |  %s  |  費用 %dG	En mano %dG  |  Llaves %d  |  %s  |  Coste %dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.blacksmith.target	%s +%d	%s, %d	%s +%d	%s +%d	%s +%d	%s +%d
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.ledger.blacksmith.no_target	대상 없음		No target	无目标	対象なし	Sin objetivo
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.menu.state.executable	실행		Run	执行	実行	Ejecutar
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.menu.state.coming_soon	준비 중		Coming soon	准备中	準備中	Próximamente
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.fail.not_ready	아직 준비 중입니다.		Not available yet.	暂未开放。	まだ準備中です。	Aún no está disponible.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.fail.bank_ledger_missing	은행 장부를 열 수 없습니다.		Couldn't open the bank ledger.	无法打开银行账本。	銀行の帳簿を開けません。	No se pudo abrir el registro del banco.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.shop.reorder_done	아이템 순서를 바꿨습니다.		Reordered the items.	已调整道具顺序。	アイテムの順序を変更しました。	Se reordenaron los objetos.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.fail.gacha_device_missing	가챠 장치를 찾을 수 없습니다.		Gacha device not found.	找不到扭蛋装置。	ガチャ装置が見つかりません。	No se encontró el dispositivo de Gacha.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.fail.lingpet_device_missing	링펫 장치를 찾을 수 없습니다.		Lingpet device not found.	找不到 Lingpet 装置。	Lingpet の装置が見つかりません。	No se encontró el dispositivo de Lingpet.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.fail.blacksmith_ledger_missing	대장간 장부를 찾을 수 없습니다.		Forge ledger not found.	找不到铁匠铺账本。	鍛冶屋の帳簿が見つかりません。	No se encontró el registro de la herrería.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.fail.academy_device_missing	아카데미 장치를 찾을 수 없습니다.		Academy device not found.	找不到学院装置。	アカデミーの装置が見つかりません。	No se encontró el dispositivo de la Academia.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.fail.tavern_device_missing	선술집 의뢰 장치를 찾을 수 없습니다.		Tavern quest device not found.	找不到酒馆委托装置。	酒場の依頼装置が見つかりません。	No se encontró el dispositivo de misiones de la taberna.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.fallback.ring_core_name	링코어		Ring Core	环核	リングコア	Núcleo de anillo
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.fallback.item_name	아이템		item	道具	アイテム	objeto
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.fallback.quest_name	의뢰		quest	委托	依頼	misión
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.shop.name	상점		Shop	商店	ショップ	Tienda
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.shop.subtitle	골드로 아이템을 사고파는 곳		Where you buy and sell items with Gold	用金币买卖道具的地方	ゴールドでアイテムを売買する場所	Donde compras y vendes objetos con Oro
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.bank.name	은행		Bank	银行	銀行	Banco
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.bank.subtitle	골드를 맡기고 찾는 금고		A vault to deposit and withdraw Gold	存取金币的金库	ゴールドを預けて引き出す金庫	Una bóveda para depositar y retirar Oro
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.gacha.name	가챠샵		Gacha Shop	扭蛋商店	ガチャショップ	Tienda Gacha
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.gacha.subtitle	아이템 뽑기 장치		An item gacha-draw machine	道具抽取装置	アイテム抽選装置	Una máquina de tirada gacha de objetos
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.lingpet_store.name	링펫스토어		Lingpet Store	灵宠商店	リンペットストア	Tienda de Lingpets
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.lingpet_store.subtitle	링펫 알과 링펫 관련 상점		A shop for Lingpet eggs and Lingpet goods	出售灵宠蛋及灵宠相关商品的商店	リンペットの卵やリンペット関連の品を扱う店	Una tienda de huevos de Lingpet y artículos de Lingpet
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.blacksmith.name	대장간		Forge	铁匠铺	鍛冶屋	Herrería
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.blacksmith.subtitle	아이템을 강화하는 공방		A workshop to upgrade items	强化道具的工坊	アイテムを強化する工房	Un taller para mejorar objetos
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.tavern.name	선술집		Tavern	酒馆	酒場	Taberna
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.tavern.subtitle	퀘스트를 받는 의뢰소		A request office where you take on quests	接受委托任务的委托所	クエストを受ける依頼所	Una oficina de encargos donde aceptas misiones
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.academy.name	아카데미		Academy	学院	アカデミー	Academia
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.academy.subtitle	액티브 스킬을 얻고 교환하는 곳		Where you gain and exchange Active skills	获得并交换主动技能的地方	アクティブスキルを習得し交換する場所	Donde obtienes e intercambias habilidades Activas
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.shop.npc_name	상점주인 모라		Shopkeeper Mora	店主 莫拉	店主 モラ	Tendera Mora
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.bank.npc_name	은행원 도윤		Banker Doyun	银行职员 道允	銀行員 ドユン	Cajero Doyun
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.gacha.npc_name	가챠 오퍼레이터 루미		Gacha Operator Lumi	扭蛋操作员 露米	ガチャオペレーター ルミ	Operadora de Gacha Lumi
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.lingpet_store.npc_name	링펫 사육사 링링		Lingpet Breeder Ringring	灵宠饲养员 玲玲	リンペット飼育員 リンリン	Criadora de Lingpets Ringring
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.blacksmith.npc_name	대장장이 강철		Blacksmith Gangcheol	铁匠 钢铁	鍛冶屋 ガンチョル	Herrero Gangcheol
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.tavern.npc_name	선술집 주인 하랑		Tavern Keeper Harang	酒馆老板 哈朗	酒場の主人 ハラン	Tabernero Harang
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.academy.npc_name	아카데미 교관 서율		Academy Instructor Seoyul	学院教官 瑞律	アカデミー教官 ソユル	Instructor de la Academia Seoyul
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.shop.greeting	어서오세요!|필요한 장비를 골라볼까요?		Welcome!|Shall we pick out the gear you need?	欢迎光临！|来挑选你需要的装备吧？	いらっしゃいませ！|必要な装備を選びましょうか？	¡Bienvenido!|¿Elegimos el equipo que necesitas?
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.bank.greeting	금고는 안전합니다.|맡기거나 찾아가세요.		The vault is secure.|Deposit or withdraw as you like.	金库很安全。|尽管存取吧。	金庫は安全です。|お預けやお引き出しをどうぞ。	La bóveda es segura.|Deposita o retira a tu gusto.
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.gacha.greeting	캡슐이 돌 준비를|마쳤어요.		The capsule is all set|and ready to spin.	胶囊已经准备好|可以开始转动了。	カプセルを回す準備が|整いました。	La cápsula está lista|para girar.
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.lingpet_store.greeting	공명 알이 오늘도|반짝이고 있어요.		The resonance eggs are|shimmering again today.	共鸣蛋今天也|闪闪发光呢。	共鳴の卵が今日も|きらめいています。	Los huevos de resonancia|vuelven a brillar hoy.
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.blacksmith.greeting	좋은 장비는|망치질을 버팁니다.		Good gear can take|a good hammering.	好装备|经得起锤炼。	良い装備は|槌打ちに耐えます。	El buen equipo aguanta|los martillazos.
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.tavern.greeting	의뢰서를|확인해 보시겠습니까?		Would you like to|check the request board?	要看一看|委托书吗？	依頼書を|確認してみますか？	¿Quieres revisar|el tablón de encargos?
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.building.academy.greeting	새 기술을 익힐|준비가 됐나요?		Are you ready to|learn a new skill?	准备好|学习新技能了吗？	新しい技を覚える|準備はできましたか？	¿Listo para|aprender una nueva habilidad?
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.academy.skill_lesson	스킬 수업 %dG	%d	Skill Lesson %dG	技能课程 %dG	スキルレッスン %dG	Lección de habilidad %dG
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.academy.skill_exchange	스킬 교환		Exchange Skill	交换技能	スキル交換	Intercambiar habilidad
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.academy.acquire_skill_legacy_label	스킬 획득		Acquire Skill	获得技能	スキル習得	Obtener habilidad
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.gacha.pull_active_capsule	액티브 캡슐 뽑기 %dG	%d	Draw Active Capsule %dG	抽取主动胶囊 %dG	アクティブカプセル抽選 %dG	Tirar cápsula Activa %dG
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.blacksmith.enhance_last_item	마지막 아이템 강화		Upgrade Last Item	强化最近的道具	直近のアイテムを強化	Mejorar último objeto
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.bank.deposit	예금 100G		Deposit 100G	存入 100G	預金 100G	Depositar 100G
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.bank.withdraw	출금 100G		Withdraw 100G	取出 100G	引き出し 100G	Retirar 100G
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.bank.settle_interest	이자 정산		Settle Interest	结算利息	利息精算	Liquidar intereses
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.tavern.accept_quest	의뢰 받기		Accept Quest	接受委托	クエストを受ける	Aceptar misión
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.tavern.report_quest	의뢰 보고		Report Quest	汇报委托	クエストを報告	Informar misión
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.tavern.accept_quest_legacy_label	퀘스트 받기		Accept Quest	接受委托	クエストを受ける	Aceptar misión
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.lingpet_store.pull_resonance_egg	공명 알 뽑기 %dG	%d	Draw Resonance Egg %dG	抽取共鸣蛋 %dG	共鳴の卵を抽選 %dG	Tirar huevo de resonancia %dG
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.lingpet_store.manage_lingpets	링펫 관리		Manage Lingpets	管理灵宠	リンペット管理	Gestionar Lingpets
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.lingpet_ring_core.upgrade	%s 링코어 강화 %dG	%s, %d	Upgrade %s Ring Core %dG	强化%s环核 %dG	%s リングコア強化 %dG	Mejorar Ring Core %s %dG
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.lingpet_ring_core.max_tier	링코어 최대 단계		Ring Core Max Tier	环核已达最高阶	リングコア最大段階	Ring Core al nivel máximo
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.lingpet_ring_core.preparing	링코어 강화 준비 중		Preparing Ring Core Upgrade	环核强化准备中	リングコア強化 準備中	Preparando mejora de Ring Core
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.lingpet_ring_core.upgrade_generic	링코어 강화		Ring Core Upgrade	环核强化	リングコア強化	Mejora de Ring Core
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.action.lingpet_ring_core.missing_tier_name_fallback	링코어		Ring Core	环核	リングコア	Núcleo de anillo
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.ring_core.tier.1	스탠다드		Standard	标准	スタンダード	Estándar
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.ring_core.tier.2	부스트		Boost	增压	ブースト	Boost
